id,name,office_code,district,district_office,road_addr,founding,is_branch,lat,lng,level,is_active,source
B000003872,안양동초등학교,7530000,안양시,경기도안양과천교육지원청,경기도 안양시 동안구 임곡로80번길 34,공립,false,37.4074453,126.9359047,elem,true,data.go.kr
B000003854,안양부안초등학교,7530000,안양시,경기도안양과천교육지원청,경기도 안양시 동안구 달안로 113,공립,false,37.3983563,126.9542396,elem,true,data.go.kr
B000003871,안양부흥초등학교,7530000,안양시,경기도안양과천교육지원청,경기도 안양시 동안구 달안로 37,공립,false,37.3947605,126.9465091,elem,true,data.go.kr
B000003850,안양서초등학교,7530000,안양시,경기도안양과천교육지원청,경기도 안양시 만안구 양화로37번길 32,공립,false,37.39696022,126.911039,elem,true,data.go.kr
B000003873,안양신기초등학교,7530000,안양시,경기도안양과천교육지원청,경기도 안양시 동안구 동안로 26,공립,false,37.3816429,126.9569687,elem,true,data.go.kr
B000003839,안양양지초등학교,7530000,안양시,경기도안양과천교육지원청,경기도 안양시 만안구 병목안로130번길 69,공립,false,37.39224518,126.9045522,elem,true,data.go.kr
B000003853,안양중앙초등학교,7530000,안양시,경기도안양과천교육지원청,경기도 안양시 동안구 경수대로883번길 11,공립,false,37.39553138,126.9377855,elem,true,data.go.kr
B000003848,안양초등학교,7530000,안양시,경기도안양과천교육지원청,경기도 안양시 만안구 현충로28번길 54,공립,false,37.39417913,126.9279515,elem,true,data.go.kr
B000003851,안양호암초등학교,7530000,안양시,경기도안양과천교육지원청,경기도 안양시 만안구 예술공원로103번길 73,공립,false,37.42090452,126.9164018,elem,true,data.go.kr
B000003847,안일초등학교,7530000,안양시,경기도안양과천교육지원청,경기도 안양시 만안구 안양천서로 339,공립,false,37.40408484,126.9223567,elem,true,data.go.kr
B000004141,안중초등학교,7530000,평택시,경기도평택교육지원청,경기도 평택시 안중읍 안중로 89,공립,false,36.98964453,126.9260167,elem,true,data.go.kr
B000004262,안현초등학교,7530000,광명시,경기도광명교육지원청,경기도 광명시 도덕공원로 5,공립,false,37.47101395,126.867503,elem,true,data.go.kr
B000004185,안화초등학교,7530000,화성시,경기도화성오산교육지원청,경기도 화성시 병점구 병점3로 132-5,공립,false,37.2126026078,127.0472161163,elem,true,data.go.kr
B000004359,안흥초등학교,7530000,이천시,경기도이천교육지원청,경기도 이천시 영창로300번길 16,공립,false,37.28024391,127.4560778,elem,true,data.go.kr
B000003762,야탑초등학교,7530000,성남시,경기도성남교육지원청,경기도 성남시 분당구 양현로 400,공립,false,37.41661561,127.1256267,elem,true,data.go.kr
B000003789,약대초등학교,7530000,부천시,경기도부천교육지원청,경기도 부천시 원미구 수도로66번길 14,공립,false,37.51360773,126.7727484,elem,true,data.go.kr
B000004224,양감초등학교,7530000,화성시,경기도화성오산교육지원청,경기도 화성시 만세구 양감면 초록로 49,공립,false,37.0809277186,126.951662,elem,true,data.go.kr
B000004346,양곡초등학교,7530000,김포시,경기도김포교육지원청,경기도 김포시 양촌읍 양곡로 548,공립,false,37.65584275,126.6220164,elem,true,data.go.kr
B000004336,양도초등학교,7530000,김포시,경기도김포교육지원청,경기도 김포시 풍무로93번길 31,공립,false,37.6029132,126.7204531,elem,true,data.go.kr
B000004469,양동초등학교,7530000,양평군,경기도양평교육지원청,경기도 양평군 양동면 양동로 1671,공립,false,37.43070341,127.7498853,elem,true,data.go.kr
B000004476,양동초등학교고송분교장,7530000,양평군,경기도양평교육지원청,경기도 양평군 양동면 고송길 32-16,공립,true,37.48641096,127.7005221,elem,true,data.go.kr
B000004298,양벌초등학교,7530000,광주시,경기도광주하남교육지원청,경기도 광주시 양벌로 195-15,공립,false,37.37946278,127.2561851,elem,true,data.go.kr
B000004248,양산초등학교,7530000,오산시,경기도화성오산교육지원청,경기도 오산시 양산로 448,공립,false,37.19721014,127.0321505,elem,true,data.go.kr
B000004459,양서초등학교,7530000,양평군,경기도양평교육지원청,경기도 양평군 양서면 양서도곡길 8,공립,false,37.51289742,127.3822247,elem,true,data.go.kr
B000004421,양성초등학교,7530000,안성시,경기도안성교육지원청,경기도 안성시 양성면 옥단길 43,공립,false,37.06212187,127.1958377,elem,true,data.go.kr
B000004460,양수초등학교,7530000,양평군,경기도양평교육지원청,경기도 양평군 양서면 용담3길 15,공립,false,37.54473436,127.3256681,elem,true,data.go.kr
B000003759,양영초등학교,7530000,성남시,경기도성남교육지원청,경기도 성남시 분당구 불정로406번길 17,공립,false,37.37465969,127.1400905,elem,true,data.go.kr
B000004595,양오초등학교,7530000,남양주시,경기도구리남양주교육지원청,경기도 남양주시 오남읍 양지로 261-35,공립,false,37.69759593,127.192346,elem,true,data.go.kr
B000004494,양일초등학교,7530000,고양시,경기도고양교육지원청,경기도 고양시 일산동구 위시티로 151,공립,false,37.68534412,126.8136095,elem,true,data.go.kr
B000004733,양주덕산초등학교,7530000,양주시,경기도동두천양주교육지원청,경기도 양주시 평화로 1418-6,공립,false,37.81819328,127.047730,elem,true,data.go.kr
B000004730,양주덕현초등학교,7530000,양주시,경기도동두천양주교육지원청,경기도 양주시 부흥로 1989,공립,false,37.79963799,127.0808351,elem,true,data.go.kr
B000004747,양주백석초등학교,7530000,양주시,경기도동두천양주교육지원청,경기도 양주시 백석읍 중앙로223번길 10-11,공립,false,37.79644619,126.9866637,elem,true,data.go.kr
B000004017,양지초등학교,7530000,용인시,경기도용인교육지원청,경기도 용인시 처인구 양지면 교동로 30,공립,false,37.23708312,127.2844906,elem,true,data.go.kr
B000004397,양진초등학교,7530000,안성시,경기도안성교육지원청,경기도 안성시 공도읍 진사1길 14,공립,false,36.98928184,127.1404236,elem,true,data.go.kr
B000004465,양평단월초등학교,7530000,양평군,경기도양평교육지원청,경기도 양평군 단월면 보룡길 65,공립,false,37.53960825,127.6728384,elem,true,data.go.kr
B000004455,양평동초등학교,7530000,양평군,경기도양평교육지원청,경기도 양평군 양평읍 창대길 20-8,공립,false,37.48822139,127.5071031,elem,true,data.go.kr
B000004456,양평초등학교,7530000,양평군,경기도양평교육지원청,경기도 양평군 양평읍 양근로 142,공립,false,37.49302359,127.4861938,elem,true,data.go.kr
B000004593,어람초등학교,7530000,남양주시,경기도구리남양주교육지원청,경기도 남양주시 오남읍 진건오남로550번길 25,공립,false,37.68248891,127.2131022,elem,true,data.go.kr
B000004656,어룡초등학교,7530000,의정부시,경기도의정부교육지원청,경기도 의정부시 부용로 241,공립,false,37.74781123,127.0826215,elem,true,data.go.kr
B000004151,어연초등학교,7530000,평택시,경기도평택교육지원청,경기도 평택시 청북읍 청원로 446,공립,false,37.04885888,126.9773922,elem,true,data.go.kr
B000026034,어울초등학교,7530000,안성시,경기도안성교육지원청,경기도 안성시 대덕면 신령로 58-33,공립,false,37.01660034,127.2238791,elem,true,data.go.kr
B000003975,어정초등학교,7530000,용인시,경기도용인교육지원청,경기도 용인시 기흥구 어정로 155,공립,false,37.27695642,127.1474013,elem,true,data.go.kr
B000003962,언남초등학교,7530000,용인시,경기도용인교육지원청,경기도 용인시 기흥구 기흥로116번길 87,공립,false,37.28975883,127.1195878,elem,true,data.go.kr
B000003940,언동초등학교,7530000,용인시,경기도용인교육지원청,경기도 용인시 기흥구 언남로 55,공립,false,37.29536064,127.131593,elem,true,data.go.kr
B000024682,여울초등학교,7530000,화성시,경기도화성오산교육지원청,경기도 화성시 동탄구 동탄감배산로 95,공립,false,37.19510443,127.0889469,elem,true,data.go.kr
B000004430,여주초등학교,7530000,여주시,경기도여주교육지원청,경기도 여주시 청심로 139,공립,false,37.29870175,127.6359788,elem,true,data.go.kr
B000004429,여흥초등학교,7530000,여주시,경기도여주교육지원청,경기도 여주시 여양로 91,공립,false,37.29320528,127.6432887,elem,true,data.go.kr
B000022645,역동초등학교,7530000,광주시,경기도광주하남교육지원청,경기도 광주시 순암로36번길 45,공립,false,37.39835953,127.2473611,elem,true,data.go.kr
B000004009,역북초등학교,7530000,용인시,경기도용인교육지원청,경기도 용인시 처인구 명지로 15-30,공립,false,37.23457297,127.1924469,elem,true,data.go.kr
B000004746,연곡초등학교,7530000,양주시,경기도동두천양주교육지원청,경기도 양주시 백석읍 월암로170번길 107,공립,false,37.80715791,126.9611638,elem,true,data.go.kr
B000004427,연라초등학교,7530000,여주시,경기도여주교육지원청,경기도 여주시 여주남로 116,공립,false,37.27733048,127.6114685,elem,true,data.go.kr
B000003671,연무초등학교,7530000,수원시,경기도수원교육지원청,경기도 수원시 팔달구 창룡대로103번길 60,공립,false,37.28730746,127.0219242,elem,true,data.go.kr
B000004265,연서초등학교,7530000,광명시,경기도광명교육지원청,경기도 광명시 안현로 80-2,공립,false,37.46593524,126.882420,elem,true,data.go.kr
B000004078,연성초등학교,7530000,시흥시,경기도시흥교육지원청,경기도 시흥시 나분들길 44,공립,false,37.38797529,126.8183205,elem,true,data.go.kr
B000004821,연천노곡초등학교,7530000,연천군,경기도연천교육지원청,경기도 연천군 백학면 진목로 26,공립,false,37.99901576,126.9166642,elem,true,data.go.kr
B000004819,연천왕산초등학교,7530000,연천군,경기도연천교육지원청,경기도 연천군 미산면 왕산로 15,공립,false,38.05625632,127.0110148,elem,true,data.go.kr
B000004816,연천초등학교,7530000,연천군,경기도연천교육지원청,경기도 연천군 연천읍 연천로 228,공립,false,38.09770924,127.0753111,elem,true,data.go.kr
B000030676,연푸른초등학교,7530000,양주시,경기도동두천양주교육지원청,경기도 양주시 옥정서로1길 27,공립,false,37.81470052,127.087108,elem,true,data.go.kr
B000004704,연풍초등학교,7530000,파주시,경기도파주교육지원청,경기도 파주시 파주읍 연풍초교길 25,공립,false,37.83104878,126.8348599,elem,true,data.go.kr
B000004798,연하초등학교,7530000,가평군,경기도가평교육지원청,경기도 가평군 상면 비룡로 2199-19,공립,false,37.80326029,127.3425054,elem,true,data.go.kr
B000024200,연현초등학교,7530000,안양시,경기도안양과천교육지원청,경기도 안양시 만안구 연현로1번길 55,공립,false,37.4252211,126.9025062,elem,true,data.go.kr
B000003695,영덕초등학교,7530000,수원시,경기도수원교육지원청,경기도 수원시 영통구 영통로 438,공립,false,37.25905057,127.0739487,elem,true,data.go.kr
B000004696,영도초등학교,7530000,파주시,경기도파주교육지원청,경기도 파주시 월롱면 도감로172번길 89,공립,false,37.78747992,126.8037361,elem,true,data.go.kr
B000003696,영동초등학교,7530000,수원시,경기도수원교육지원청,경기도 수원시 영통구 봉영로1517번길 40,공립,false,37.24980193,127.0660942,elem,true,data.go.kr
B000004782,영북초등학교,7530000,포천시,경기도포천교육지원청,경기도 포천시 영북면 영북로148번길 46,공립,false,38.08986492,127.2758792,elem,true,data.go.kr
B000003699,영일초등학교,7530000,수원시,경기도수원교육지원청,경기도 수원시 영통구 덕영대로1673번길 17,공립,false,37.24845193,127.0735665,elem,true,data.go.kr
B000024658,영천초등학교,7530000,화성시,경기도화성오산교육지원청,경기도 화성시 동탄구 동탄영천로 36,공립,false,37.20570766,127.1045574,elem,true,data.go.kr
B000003697,영통초등학교,7530000,수원시,경기도수원교육지원청,경기도 수원시 영통구 영통로 328,공립,false,37.25451415,127.0644383,elem,true,data.go.kr
B000003637,영화초등학교,7530000,수원시,경기도수원교육지원청,경기도 수원시 장안구 경수대로 838,공립,false,37.29686206,127.0163697,elem,true,data.go.kr
B000004173,예당초등학교,7530000,화성시,경기도화성오산교육지원청,경기도 화성시 동탄구 동탄반석로 245,공립,false,37.2103605128,127.0754050556,elem,true,data.go.kr
B000004597,예봉초등학교,7530000,남양주시,경기도구리남양주교육지원청,경기도 남양주시 와부읍 수레로 108,공립,false,37.59204603,127.2209856,elem,true,data.go.kr
B000024689,예솔초등학교,7530000,화성시,경기도화성오산교육지원청,경기도 화성시 동탄구 동탄순환대로22길 13,공립,false,37.19655044,127.1193973,elem,true,data.go.kr
B000024747,예원초등학교,7530000,화성시,경기도화성오산교육지원청,경기도 화성시 동탄구 동탄반석로 259,공립,false,37.2108869558,127.0764005173,elem,true,data.go.kr
B000004046,오금초등학교,7530000,군포시,경기도군포의왕교육지원청,경기도 군포시 번영로 366,공립,false,37.34799594,126.9259127,elem,true,data.go.kr
